folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060140080,41, ,7,5,5,1,23211.91
20060140080,18,6,7,6,5,1,23211.91
20060140080,15,6,7,6,5,1,23211.91
20060140080,9,6,7, ,5,1,23211.91
20060140090,42, ,3,5,6,1,67070.72
20060140090,41, ,3,5,6,1,67070.72
20060140090,24, ,3,6,6,1,67070.72
20060140090,20, ,3,6,6,1,67070.72
20060140090,9,6,3, ,6,1,67070.72
20060140090,14, ,3,6,6,1,67070.72
20060140100,70, ,3,5,5,0,30032.36
20060140100,49, ,3,5,5,0,30032.36
20060140100,20, ,3,6,5,0,30032.36
20060140100,19, ,3,6,5,0,30032.36
20060140100,18, ,3,6,5,0,30032.36
20060140110,76, ,4,4,7,0,51700.69
20060140110,48, ,4,6,7,0,51700.69
20060140110,46, ,4,5,7,0,51700.69
20060140110,43, ,4,6,7,0,51700.69
20060140110,30, ,4,6,7,0,51700.69
20060140110,23, ,4,6,7,0,51700.69
20060140110,12,6,4,6,7,0,51700.69
20060140120,56, ,4,5,4,0,49977.5
20060140120,51, ,4,5,4,0,49977.5
20060140120,26,6,4,6,4,0,49977.5
20060140120,23, ,4,6,4,0,49977.5
20060140130,41, ,5,5,5,1,48398.3
20060140130,42, ,5,5,5,1,48398.3
20060140130,12,6,5,6,5,1,48398.3
20060140130,12,6,5,6,5,1,48398.3
20060140130,7,6,5, ,5,1,48398.3
20060140140,48, ,5,2,3,0,28159.14
20060140140,20,6,5,6,3,0,28159.14
20060140140,17,6,5,6,3,0,28159.14
20060140150,55, ,3,2,3,0,34337.34
20060140150,24, ,3,6,3,0,34337.34
20060140150,20, ,3,6,3,0,34337.34
20060140160,59, ,4,5,4,0,22134.09
20060140160,54, ,4,5,4,0,22134.09
20060140160,17, ,4,6,4,0,22134.09
20060140160,14, ,4,6,4,0,22134.09
20060140170,30, ,4,5,4,2,10890.65
20060140170,24, ,4,5,4,2,10890.65
20060140170,8,1,4, ,4,2,10890.65
20060140170,2, ,4, ,4,2,10890.65
20060140180,39, ,4,5,7,4,9845.11
20060140180,36, ,4,5,7,4,9845.11
20060140180,12,6,4,6,7,4,9845.11
20060140180,9,6,4, ,7,4,9845.11
20060140180,6,6,4, ,7,4,9845.11
20060140180,4, ,4, ,7,4,9845.11
20060140180,2, ,4, ,7,4,9845.11
20060140190,55, ,3,5,5,1,25507.01
20060140190,51, ,3,5,5,1,25507.01
20060140190,30, ,3,1,5,1,25507.01
20060140190,27, ,3,5,5,1,25507.01
20060140190,6,6,3, ,5,1,25507.01
20060140200,26, ,3,6,2,1,8015.19
20060140200,5,6,3, ,2,1,8015.19
20060140210,36, ,5,5,5,2,29291.29
20060140210,30, ,5,5,5,2,29291.29
20060140210,14,6,5,6,5,2,29291.29
20060140210,11,6,5, ,5,2,29291.29
20060140210,3, ,5, ,5,2,29291.29
20060140220,72, ,1,5,11,2,12872.74
20060140220,62, ,1,5,11,2,12872.74
20060140220,37, ,1,5,11,2,12872.74
20060140220,36, ,1,5,11,2,12872.74
20060140220,15, ,1,6,11,2,12872.74
20060140220,16, ,1,6,11,2,12872.74
20060140220,14, ,1,6,11,2,12872.74
20060140220,17, ,1,6,11,2,12872.74
20060140220,13,6,1,6,11,2,12872.74
20060140220,8,6,1, ,11,2,12872.74
20060140220,10,6,1, ,11,2,12872.74
20060140240,34, ,3,5,5,2,16877.31
20060140240,32, ,3,5,5,2,16877.31
20060140240,12,6,3,6,5,2,16877.31
20060140240,11,6,3, ,5,2,16877.31
20060140240,6,6,3, ,5,2,16877.31
20060140270,54, ,3,5,2,0,21271.08
20060140270,46, ,3,5,2,0,21271.08
