folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060160290,10,6,4, ,7,3,22664.04
20060160290,7,6,4, ,7,3,22664.04
20060160290,5,6,4, ,7,3,22664.04
20060160310,8,6,5, ,5,3,61607.28
20060160310,5,6,5, ,5,3,61607.28
20060160320,13,6,3,6,4,1,25569.42
20060160320,9,6,3, ,4,1,25569.42
20060160330,11,6,6, ,4,2,9164.94
20060160330,9,6,6, ,4,2,9164.94
20060160340,5,6,4, ,11,2,46751.4
20060160370,16,6,4,6,5,0,35363.02
20060160380,24,6,11,6,6,0,131022.5
20060160380,19,6,11,6,6,0,131022.5
20060160380,16,6,11,6,6,0,131022.5
20060160400,12,6,6,6,5,2,56857.04
20060160400,7,6,6, ,5,2,56857.04
20060160400,6,6,6, ,5,2,56857.04
20060160410,13,6,4,6,5,0,12913.2
20060160430,23,6,5,6,4,0,33089.81
20060160450,7,6,10, ,8,4,17748.16
20060170010,7,6,5, ,3,2,49394.13
20060170030,11,6,3, ,6,4,34214.42
20060170030,9,6,3, ,6,4,34214.42
20060170030,7,6,3, ,6,4,34214.42
20060170040,17,6,5,6,7,2,36106.01
20060170040,15,6,5,6,7,2,36106.01
20060170040,9,6,5, ,7,2,36106.01
20060170050,13,6,9,6,4,1,47759.6
20060170050,11,6,9, ,4,1,47759.6
20060170060,16,6,5,6,4,1,17286.96
20060170060,10,6,5, ,4,1,17286.96
20060170070,31,6,8,5,5,3,56904.61
20060170070,11,6,8, ,5,3,56904.61
20060170070,10,6,8, ,5,3,56904.61
20060170080,8,6,7, ,4,2,54949.16
20060170120,28,6,6,6,6,0,30420.06
20060170120,15,6,6,6,6,0,30420.06
20060170130,13,6,5,6,3,1,12551.06
20060170130,8,6,5, ,3,1,12551.06
20060170140,15,6,7,6,5,1,19415.23
20060170140,11,6,7, ,5,1,19415.23
20060170160,5,6,3, ,5,3,21859.39
20060170230,14,6,3,6,6,0,70306.86
20060170230,13,6,3,6,6,0,70306.86
20060170270,9,6,10, ,4,2,67970.57
20060170270,5,6,10, ,4,2,67970.57
20060170300,15,6,3,6,5,1,14996.77
20060170300,12,6,3,6,5,1,14996.77
20060170300,11,6,3, ,5,1,14996.77
20060170330,9,6,4, ,8,3,88129.36
20060170330,5,6,4, ,8,3,88129.36
20060170340,12,6,3,6,5,0,26421.72
20060170400,15,6,8,6,5,2,27534.79
20060170400,11,6,8, ,5,2,27534.79
20060170400,10,6,8, ,5,2,27534.79
20060170410,18,6,6,6,5,1,45513.61
20060170410,15,6,6,6,5,1,45513.61
20060170410,9,6,6, ,5,1,45513.61
20060170420,8,6,1, ,5,2,10140.53
20060170430,20,6,5,4,11,2,64615.3
20060170430,19,6,5,6,11,2,64615.3
20060170430,18,6,5,6,11,2,64615.3
20060170430,8,6,5, ,11,2,64615.3
20060170430,15,6,5,6,11,2,64615.3
20060170430,13,6,5,6,11,2,64615.3
20060180020,20,6,10,6,4,0,46790.61
20060180020,12,6,10,6,4,0,46790.61
20060180040,18,6,3,6,5,0,24842.17
20060180050,17,6,6,6,6,1,41961.57
20060180050,15,6,6,6,6,1,41961.57
20060180050,14,6,6,6,6,1,41961.57
20060180070,13,6,3,6,4,0,27373.76
20060180100,12,6,1,6,4,0,24781.6
20060180120,11,6,5, ,6,4,27397.87
20060180120,10,6,5, ,6,4,27397.87
20060180120,8,6,5, ,6,4,27397.87
20060180120,8,6,5, ,6,4,27397.87
